date,close,open,high,low,rate
2006-03,2.948,2.948,2.948,2.948,-0.74%
2006-02,2.97,2.97,2.97,2.97,-5.23%
2006-01,3.134,3.134,3.134,3.134,-5.06%
2005-12,3.301,3.301,3.301,3.301,0.24%
2005-11,3.293,3.293,3.293,3.293,3.75%
2005-10,3.174,3.174,3.174,3.174,-4.54%
2005-09,3.325,3.325,3.325,3.325,-5.49%
2005-08,3.518,3.518,3.518,3.518,-0.85%
2005-07,3.548,3.548,3.548,3.548,-8.42%
2005-06,3.874,3.874,3.874,3.874,-6.27%
2005-05,4.133,4.133,4.133,4.133,-5.14%
2005-04,4.357,4.357,4.357,4.357,-1.22%
2005-03,4.411,4.411,4.411,4.411,-5.59%
2005-02,4.672,4.672,4.672,4.672,0.54%
2005-01,4.647,4.647,4.647,4.647,2.51%
2004-12,4.533,4.533,4.533,4.533,-4.63%
2004-11,4.753,4.753,4.753,4.753,-0.79%
2004-10,4.791,4.791,4.791,4.791,0.02%
2004-09,4.79,4.79,4.79,4.79,-3.25%
2004-08,4.951,4.951,4.951,4.951,6.61%
2004-07,4.644,4.644,4.644,4.644,2.11%
2004-06,4.548,4.548,4.548,4.548,10.52%
2004-05,4.115,4.115,4.115,4.115,0.56%
2004-04,4.092,4.092,4.092,4.092,2.81%
2004-03,3.98,3.98,3.98,3.98,0.81%
2004-02,3.948,3.948,3.948,3.948,5.00%
2004-01,3.76,3.76,3.76,3.76,0.13%
2003-12,3.755,3.755,3.755,3.755,-0.77%
2003-11,3.784,3.784,3.784,3.784,4.33%
2003-10,3.627,3.627,3.627,3.627,6.36%
2003-09,3.41,3.41,3.41,3.41,15.99%
2003-08,2.94,2.94,2.94,2.94,1.31%
2003-07,2.902,2.902,2.902,2.902,-2.75%
2003-06,2.984,2.984,2.984,2.984,3.00%
2003-05,2.897,2.897,2.897,2.897,-7.18%
2003-04,3.121,3.121,3.121,3.121,5.33%
2003-03,2.963,2.963,2.963,2.963,-1.53%
2003-02,3.009,3.009,3.009,3.009,-1.57%
2003-01,3.057,3.057,3.057,3.057,-1.36%
2002-12,3.099,3.099,3.099,3.099,-6.71%
2002-11,3.322,3.322,3.322,3.322,8.28%
2002-10,3.068,3.068,3.068,3.068,-0.42%
2002-09,3.081,3.081,3.081,3.081,8.22%
2002-08,2.847,2.847,2.847,2.847,-0.80%
2002-07,2.87,2.87,2.87,2.87,13.44%
